key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst,timezone_name
VYMM,MNU,Mawlamyine Airport,Mawlamyine,Burma,16.443186,97.659608,52,6.5,U,Asia/Rangoon
VYMS,MOG,Monghsat Airport,Mong Hsat,Burma,20.518177,99.258495,1875,6.5,U,Asia/Rangoon
VYMW,MWQ,Magwe,Magwe,Burma,20.165453,94.941185,275,6.5,U,Asia/Rangoon
VYNT,NYT,NAYPYITAW,NAYPYITAW,Burma,19.374,96.121,294,6.5,N,Asia/Rangoon
VYPN,BSX,Pathein Airport,Pathein,Burma,16.815233,94.779911,20,6.5,U,Asia/Rangoon
VYPT,PBU,Putao Airport,Putao,Burma,27.329495,97.426689,1500,6.5,U,Asia/Rangoon
VYPU,PKK,Pakokku Airport,Pakhokku,Burma,21.333333,95.1,151,6.5,U,Asia/Rangoon
VYSW,AKY,Sittwe Airport,Sittwe,Burma,20.132722,92.872956,27,6.5,U,Asia/Rangoon
VYTD,SNW,Thandwe Airport,Thandwe,Burma,18.461197,94.30017,20,6.5,U,Asia/Rangoon
VYTL,THL,Tachileik Airport,Tachilek,Burma,20.485184,99.935213,1280,7,U,Asia/Rangoon
VYYE,XYE,Ye Airport,Ye,Burma,15.25,97.85,25,6.5,U,Asia/Rangoon
VYYY,RGN,Yangon International Airport,Yangon,Burma,16.909714,96.13499,109,6.5,U,Asia/Rangoon
WAAA,UPG,Sultan Hasanuddin International Airport,Ujung Pandang,Indonesia,-5.077185,119.548008,47,8,U,Asia/Makassar
WABB,BIK,Mokmer Airport,Biak,Indonesia,-1.179108,136.099749,46,9,U,Asia/Jayapura
WABI,NBX,Nabire,Nabire,Indonesia,-3.369722,135.496674,20,9,U,Asia/Jayapura
WABP,TIM,Timika Airport,Timika,Indonesia,-4.533333,136.916667,103,9,U,Asia/Jayapura
WADA,AMI,Selaparang Airport,Mataram,Indonesia,-8.560689,116.086472,52,8,U,Asia/Makassar
WADB,BMU,Bima Airport,Bima,Indonesia,-8.539633,118.687227,3,8,U,Asia/Makassar
WADD,DPS,Bali Airport,Denpasar,Indonesia,-8.744221,115.167505,14,8,U,Asia/Makassar
WADL,LOP,Lombok International Airport,Praya,Indonesia,-8.757322,116.276675,52,8,N,Asia/Makassar
WADS,SWQ,Brang Bidji Airport,Sumbawa Island,Indonesia,-8.5,117.416664,16,8,U,Asia/Makassar
WADT,TMC,Tambolaka,Waikabubak-Sumba Island,Indonesia,-9.409537,119.245992,161,8,U,Asia/Makassar
WADW,WGP,Mau Hau Airport,Waingapu,Indonesia,-9.669476,120.302038,33,8,U,Asia/Makassar
WAJB,BUI,Bokondini Airport,Bokondini-Papua Island,Indonesia,-3.58365,138.533,9104,9,U,Asia/Jayapura
WAJJ,DJJ,Sentani Airport,Jayapura,Indonesia,-2.576739,140.516022,289,9,U,Asia/Jayapura
WAJS,SEH,Senggeh Airport,Senggeh-Papua Island,Indonesia,-3.433333,140.816667,914,9,U,Asia/Jayapura
WAJW,WMX,Wamena,Wamena,Indonesia,-4.098333,138.95166,5085,9,U,Asia/Jayapura
WAKK,MKQ,Mopah Airport,Merauke,Indonesia,-8.521194,140.418811,10,9,U,Asia/Jayapura
