iata,icao,name
,GSV,Agrocentr-Avia,
,AGZ,Agrolet-Mci,
,GME,Aguilas Mayas Internacional,
ZI,AAF,Aigle Azur,
,BRM,Air 500,
,RDM,Air Ada,
,FTC,Air Affaires Tchad,
,RKA,Air Afrique,
,AFV,Air Afrique Vacancies,
,LFA,Air Alfa,
AH,DAH,Air Algérie,
,RLZ,Air Alize,
,ALM,Air ALM,
,LMY,Air Almaty,
,LMZ,Air Almaty ZK,
,DBA,Air Alpha,
GD,AHA,Air Alpha Greenland,
A6,LPV,Air Alps Aviation,
,MMD,Air Alsie,
,AMY,Air Ambar,
,RMD,Air Amder,
,RUD,Air Anastasia,
,NTL,Air Anatolia,
,ASN,Air and Sea Transport,
G9,ABY,Air Arabia,
,RHL,Air Archipels,
QN,ARR,Air Armenia,
KC,KZR,Air Astana,
,EUK,Air Atlanta Europe,
CC,ABD,Air Atlanta Icelandic,
,ANI,Air Atlantic,
,AUM,Air Atlantic Uruguay,
KI,AAG,Air Atlantique,
,OUL,Air Atonabee,
,AAI,Air Aurora,
UU,REU,Air Austral,
,BFF,Air Baffin,
W9,JAB,Air Bagan,
BT,BTI,Air Baltic,
,LZP,Air Ban,
,BDM,Air Bandama,
B9,BGD,Air Bangladesh,
,BBT,Air Bashkortostan,
ZX,ABL,Air BC,
AB,BER,Air Berlin,
JA,BON,Air Bosna,
BP,BOT,Air Botswana,
,BRL,Air Brasd'or,
,BRF,Air Bravo,
2J,VBW,Air Burkina,
8Y,PBU,Air Burundi,
BX,ABL,Air Busan,
,MSC,Air Cairo,
,ACM,Air Caledonia,
TY,TPC,Air Calédonie,
SB,ACI,Air Caledonie International,
AC,ACA,Air Canada,
QK,JZA,Air Canada Jazz,
TX,FWI,Air Caraïbes,
,CAJ,Air Caraibes Atlantique,
,CMF,Air Care Alliance,
,MVM,Air Cargo America,
,CGB,Air Cargo Belize,
2Q,SNC,Air Cargo Carriers,
,GRI,Air Cargo Center,
,TDG,Air Cargo Express,
,PFT,Air Cargo Express International,
6U,ACX,Air Cargo Germany,
,RNR,Air Cargo Masters,
,ACH,Air Cargo Plus,
,ACU,Air Cargo Transportation System,
,FCI,Air Carriers,
,RCI,Air Cassai,
,RAP,Air Center Helicopters,
,ABS,Air Central,
NV,CRF,Air Central,
,AAT,Air Central Asia,
,ACE,Air Charter Express,
,CHV,Air Charter Professionals,
,ACV,Air Charter Service,
,CHR,Air Charter Services,
,XAC,Air Charter World,
,RCC,Air Charters Eelde,
CV,CVA,Air Chathams,
CA,CCA,Air China,
,CAO,Air China Cargo,
4F,ECE,Air City,
QD,QCL,Air Class Líneas Aéreas,
,ASS,Air Class Mexico,
,CBS,Air Columbus,
GG,HAH,Air Comores International,
,KGD,Air Concorde,
,CNU,Air Consul,
,NAR,Air Continental,
,ABR,Air Contractors,
,CPV,Air Corporate,
QC,CRD,Air Corridor,
,CRQ,Air Creebec,
,CRJ,Air Cruzal,
H9,HAD,Air D'Ayiti,
,AFS,Air Data,
,UCK,Air Division of the Eastern Kazakhstan Region,
,DJU,Air Djibouti,
EN,DLA,Air Dolomiti,
,EET,Air Este,
UX,AEA,Air Europa,
PE,AEL,Air Europe,
,VAE,Air Evans,
,EVE,Air Evex,
,XLL,Air Excel,
,EXG,Air Exchange,
,IVE,Air Executive,
,XEC,Air Executive Charter,
XT,AXL,Air Exel,
,AEJ,Air Express,
,AEQ,Air Express,
,AXD,Air Express,
,AVG,Air Falcon,
,FLD,Air Falcon,
PC,FAJ,Air Fiji,
OF,FIF,Air Finland,
,AFM,Air Four,
GS,UPA,Air Foyle,
AF,AFR,Air France,
,FMT,Air Fret De Mauritanie,
,ABN,Air Fret Senegal,
,GLL,Air Gemini,
DA,GRG,Air Georgia,
ZX,GGN,Air Georgian,
,GHN,Air Ghana,
7T,AGV,Air Glaciers,
,CGW,Air Great Wall,
GL,GRL,Air Greenland,
,AGM,Air Guam,
2U,GIP,Air Guinee Express,
GG,GUY,Air Guyane,
,HJA,Air Haiti,
LD,AHK,Air Hong Kong,
8C,HZT,Air Horizon,
,TPK,Air Horizon,
,AHN,Air Hungaria,
NY,FXI,Air Iceland,
,AIL,Air Illinois,
IX,AXB,Air India Express,
AI,AIC,Air India Limited,
,AII,Air Integra,
,ICM,Air Inter Cameroun,
,AIG,Air Inter Gabon,
,NTV,Air Inter Ivoire,
,NSK,Air Intersalonika,
,AIE,Air Inuit,
I9,AEY,Air Italy,
,AEI,Air Italy Polska,
,MQT,Air ITM,
VU,VUN,Air Ivoire,
,LJA,Air Jamahiriya,
JM,AJM,Air Jamaica,
,JMX,Air Jamaica Express,
NQ,AJX,Air Japan,
,AJU,Air Jetsul,
4A,AKL,Air Kiribati,
,KAD,Air Kirovograd,
,KSI,Air Kissari,
,KLD,Air Klaipėda,
,KRT,Air Kokshetau,
,AKA,Air Korea,
JS,KOR,Air Koryo,
,KFT,Air Kraft Mir,
,KAV,Air Kufra,
,UED,Air LA,
,LZR,Air Lazur,
,RLL,Air Leone,
,TLR,Air Libya Tibesti,
,IFI,Air Lift,
,ALN,Air Lincoln,
,LIV,Air Livonia,
,ALG,Air Logistics,
LK,LXR,Air Luxor,
L8,LXG,Air Luxor GB,
,ALU,Air Luxor STP,
NX,AMU,Air Macau,
,KAM,Air Mach,
MD,MDG,Air Madagascar,
,MLN,Air Madeleine,
QM,AML,Air Malawi,
,AMI,Air Maldives,
,KLB,Air Mali International,
KM,AMC,Air Malta,
,EFC,Air Mana,
,MBB,Air Manas,
,MKH,Air Marrakech Service,
CW,CWM,Air Marshall Islands,
MR,MRT,Air Mauritanie,
MK,MAU,Air Mauritius,
,RMX,Air Max,
,AZX,Air Max Africa,
,MCD,Air Medical,
DR,BIE,Air Mediterranee,
P8,,Air Mekong,
